image_id,num_pred,num_gt,count_mae,tp_0.50,fp_0.50,fn_0.50,precision_0.50,recall_0.50,f1_0.50,tp_0.55,fp_0.55,fn_0.55,precision_0.55,recall_0.55,f1_0.55,tp_0.60,fp_0.60,fn_0.60,precision_0.60,recall_0.60,f1_0.60,tp_0.65,fp_0.65,fn_0.65,precision_0.65,recall_0.65,f1_0.65,tp_0.70,fp_0.70,fn_0.70,precision_0.70,recall_0.70,f1_0.70,tp_0.75,fp_0.75,fn_0.75,precision_0.75,recall_0.75,f1_0.75,tp_0.80,fp_0.80,fn_0.80,precision_0.80,recall_0.80,f1_0.80,tp_0.85,fp_0.85,fn_0.85,precision_0.85,recall_0.85,f1_0.85,tp_0.90,fp_0.90,fn_0.90,precision_0.90,recall_0.90,f1_0.90,tp_0.95,fp_0.95,fn_0.95,precision_0.95,recall_0.95,f1_0.95,pq,sq,rq
BakuretsuKungFuGirl_025,19,26,7,14,5,12,0.7368421013850416,0.5384615363905325,0.6222221706666704,14,5,12,0.7368421013850416,0.5384615363905325,0.6222221706666704,14,5,12,0.7368421013850416,0.5384615363905325,0.6222221706666704,14,5,12,0.7368421013850416,0.5384615363905325,0.6222221706666704,14,5,12,0.7368421013850416,0.5384615363905325,0.6222221706666704,14,5,12,0.7368421013850416,0.5384615363905325,0.6222221706666704,14,5,12,0.7368421013850416,0.5384615363905325,0.6222221706666704,14,5,12,0.7368421013850416,0.5384615363905325,0.6222221706666704,13,6,13,0.6842105227146814,0.4999999980769231,0.5777777264197571,13,6,13,0.6842105227146814,0.4999999980769231,0.5777777264197571,0.5996389140480186,0.9637054018603078,0.6222222194567901
Belmondo_033,24,21,3,19,5,2,0.7916666633680556,0.9047619004535147,0.8444443909135831,19,5,2,0.7916666633680556,0.9047619004535147,0.8444443909135831,19,5,2,0.7916666633680556,0.9047619004535147,0.8444443909135831,19,5,2,0.7916666633680556,0.9047619004535147,0.8444443909135831,19,5,2,0.7916666633680556,0.9047619004535147,0.8444443909135831,18,6,3,0.749999996875,0.8571428530612245,0.7999999466666696,18,6,3,0.749999996875,0.8571428530612245,0.7999999466666696,18,6,3,0.749999996875,0.8571428530612245,0.7999999466666696,18,6,3,0.749999996875,0.8571428530612245,0.7999999466666696,18,6,3,0.749999996875,0.8571428530612245,0.7999999466666696,0.8155505417570534,0.9657835405836188,0.844444440691358
Belmondo_074,25,17,8,16,9,1,0.63999999744,0.9411764650519031,0.761904710090706,16,9,1,0.63999999744,0.9411764650519031,0.761904710090706,16,9,1,0.63999999744,0.9411764650519031,0.761904710090706,16,9,1,0.63999999744,0.9411764650519031,0.761904710090706,16,9,1,0.63999999744,0.9411764650519031,0.761904710090706,16,9,1,0.63999999744,0.9411764650519031,0.761904710090706,16,9,1,0.63999999744,0.9411764650519031,0.761904710090706,16,9,1,0.63999999744,0.9411764650519031,0.761904710090706,16,9,1,0.63999999744,0.9411764650519031,0.761904710090706,14,11,3,0.55999999776,0.8235294069204152,0.6666666153061259,0.7457492185403719,0.9787958539951709,0.761904758276644
BokuHaSitatakaKun_007,15,20,5,10,5,10,0.6666666622222223,0.49999999749999996,0.5714285191836777,10,5,10,0.6666666622222223,0.49999999749999996,0.5714285191836777,10,5,10,0.6666666622222223,0.49999999749999996,0.5714285191836777,10,5,10,0.6666666622222223,0.49999999749999996,0.5714285191836777,10,5,10,0.6666666622222223,0.49999999749999996,0.5714285191836777,10,5,10,0.6666666622222223,0.49999999749999996,0.5714285191836777,10,5,10,0.6666666622222223,0.49999999749999996,0.5714285191836777,9,6,11,0.5999999960000001,0.44999999775,0.5142856623673515,8,7,12,0.5333333297777778,0.39999999799999997,0.45714280555102565,7,8,13,0.4666666635555556,0.34999999825,0.39999994873469985,0.5399009426992433,0.9448266551226853,0.5714285681632653
BokuHaSitatakaKun_038,13,24,11,10,3,14,0.7692307633136095,0.41666666493055554,0.5405404920379877,10,3,14,0.7692307633136095,0.41666666493055554,0.5405404920379877,10,3,14,0.7692307633136095,0.41666666493055554,0.5405404920379877,10,3,14,0.7692307633136095,0.41666666493055554,0.5405404920379877,10,3,14,0.7692307633136095,0.41666666493055554,0.5405404920379877,10,3,14,0.7692307633136095,0.41666666493055554,0.5405404920379877,10,3,14,0.7692307633136095,0.41666666493055554,0.5405404920379877,10,3,14,0.7692307633136095,0.41666666493055554,0.5405404920379877,9,4,15,0.6923076869822486,0.3749999984375,0.4864864382761182,8,5,16,0.6153846106508877,0.3333333319444444,0.4324323845142488,0.517713776151623,0.9577704910576401,0.5405405376186998
BokuHaSitatakaKun_044,26,30,4,9,17,21,0.3461538448224852,0.299999999,0.321428520535722,9,17,21,0.3461538448224852,0.299999999,0.321428520535722,9,17,21,0.3461538448224852,0.299999999,0.321428520535722,9,17,21,0.3461538448224852,0.299999999,0.321428520535722,9,17,21,0.3461538448224852,0.299999999,0.321428520535722,9,17,21,0.3461538448224852,0.299999999,0.321428520535722,8,18,22,0.30769230650887575,0.26666666577777776,0.28571423494898823,8,18,22,0.30769230650887575,0.26666666577777776,0.28571423494898823,8,18,22,0.30769230650887575,0.26666666577777776,0.28571423494898823,8,18,22,0.30769230650887575,0.26666666577777776,0.28571423494898823,0.30702379630470833,0.9551851474704682,0.3214285702806122
BurariTessenTorimonocho_004,15,14,1,10,5,4,0.6666666622222223,0.7142857091836735,0.6896551177170072,9,6,5,0.5999999960000001,0.6428571382653062,0.6206896009512526,9,6,5,0.5999999960000001,0.6428571382653062,0.6206896009512526,9,6,5,0.5999999960000001,0.6428571382653062,0.6206896009512526,9,6,5,0.5999999960000001,0.6428571382653062,0.6206896009512526,9,6,5,0.5999999960000001,0.6428571382653062,0.6206896009512526,9,6,5,0.5999999960000001,0.6428571382653062,0.6206896009512526,9,6,5,0.5999999960000001,0.6428571382653062,0.6206896009512526,9,6,5,0.5999999960000001,0.6428571382653062,0.6206896009512526,9,6,5,0.5999999960000001,0.6428571382653062,0.6206896009512526,0.6425317060175815,0.9316709801508102,0.6896551676575506
Count3DeKimeteAgeru_025,22,18,4,9,13,9,0.40909090723140495,0.4999999972222222,0.44999994825000544,9,13,9,0.40909090723140495,0.4999999972222222,0.44999994825000544,9,13,9,0.40909090723140495,0.4999999972222222,0.44999994825000544,9,13,9,0.40909090723140495,0.4999999972222222,0.44999994825000544,9,13,9,0.40909090723140495,0.4999999972222222,0.44999994825000544,9,13,9,0.40909090723140495,0.4999999972222222,0.44999994825000544,9,13,9,0.40909090723140495,0.4999999972222222,0.44999994825000544,8,14,10,0.36363636198347105,0.44444444197530864,0.39999994850000614,8,14,10,0.36363636198347105,0.44444444197530864,0.39999994850000614,7,15,11,0.3181818167355372,0.38888888672839506,0.349999948750007,0.42745980742557155,0.9499106879174902,0.44999999775
EvaLady_038,14,20,6,7,7,13,0.49999999642857146,0.34999999825,0.41176465501730675,7,7,13,0.49999999642857146,0.34999999825,0.41176465501730675,7,7,13,0.49999999642857146,0.34999999825,0.41176465501730675,7,7,13,0.49999999642857146,0.34999999825,0.41176465501730675,7,7,13,0.49999999642857146,0.34999999825,0.41176465501730675,7,7,13,0.49999999642857146,0.34999999825,0.41176465501730675,6,8,14,0.4285714255102041,0.2999999985,0.3529411259515637,6,8,14,0.4285714255102041,0.2999999985,0.3529411259515637,6,8,14,0.4285714255102041,0.2999999985,0.3529411259515637,4,10,16,0.2857142836734694,0.19999999899999998,0.23529406782007917,0.3874342757322054,0.9409118180272742,0.4117647034602076
GOOD_KISS_Ver2_050,23,15,8,12,11,3,0.5217391281663516,0.7999999946666667,0.6315788962603913,12,11,3,0.5217391281663516,0.7999999946666667,0.6315788962603913,12,11,3,0.5217391281663516,0.7999999946666667,0.6315788962603913,12,11,3,0.5217391281663516,0.7999999946666667,0.6315788962603913,11,12,4,0.4782608674858223,0.7333333284444445,0.5789473175900316,11,12,4,0.4782608674858223,0.7333333284444445,0.5789473175900316,11,12,4,0.4782608674858223,0.7333333284444445,0.5789473175900316,11,12,4,0.4782608674858223,0.7333333284444445,0.5789473175900316,11,12,4,0.4782608674858223,0.7333333284444445,0.5789473175900316,10,13,5,0.434782606805293,0.6666666622222223,0.5263157389196719,0.593803180258199,0.9401883736905082,0.6315789440443214
