image_id,iou,dice,pixel_precision,pixel_recall,pixel_f1,boundary_fscore,boundary_precision,boundary_recall,pred_pixels,gt_pixels,intersection_pixels
TouyouKidan_066,0.756045796808878,0.8610775393019701,0.8232205625843022,0.9025841649512181,0.8610774894075112,0.7535599605352645,0.6765151515078298,0.8504087193344632,225886,206024,185954
TsubasaNoKioku_002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705,60871,0
TsubasaNoKioku_008,0.4306116024150896,0.6019965190945632,0.7428900592482836,0.5060257171999125,0.6019964708926351,0.43072121748536707,0.4989697802026453,0.37889626979103486,60760,89201,45138
TsubasaNoKioku_076,0.2712035738733127,0.4266878719463711,0.7931527751211791,0.2918450417562922,0.4266878326191299,0.26835087039670735,0.4941634240604198,0.18418560605188516,10486,28498,8317
UchiNoNyan'sDiary_031,0.6089272495552367,0.756935715674609,0.896544362608275,0.6549481037020365,0.7569356668868471,0.711520186297183,0.7968671045882154,0.6426865671577842,177999,243659,159584
UchuKigekiM774_026,0.8279919061557189,0.9059032519427204,0.9138205808391772,0.8981219358891519,0.9059032019463613,0.796321563286325,0.7609165252217179,0.8351822503892302,390917,397750,357228
UltraEleven_019,0.8294277605239352,0.9067619705151877,0.8439913360017676,0.9796197738646175,0.9067619207915776,0.8269425992093036,0.757231404950855,0.9107906635596873,264543,227917,223272
UltraEleven_070,0.2110355773550703,0.34852085488021234,0.5085069864412246,0.26511161424754814,0.348520809829347,0.4292405167122659,0.5188799321060908,0.36601027396738,86811,166511,44144
WarewareHaOniDearu_026,0.13680310094199377,0.2406803796165476,0.13960211213807683,0.8721738352310562,0.24068035582858763,0.4907855859346033,0.36650808752870584,0.7425855513025633,418912,67052,58481
YoumaKourin_072,0.752785954583464,0.858959364222379,0.9352184418464575,0.7941992014194537,0.8589593145546893,0.7887032140977102,0.8575693374339601,0.7300754345627248,275634,324576,257778
YoumaKourin_090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677,180129,0
YoumaKourin_091,0.38534378385218204,0.5563150293000466,0.6432780886312719,0.4900645077628285,0.5563149802133202,0.5458193964772674,0.6074130105670419,0.49556737587188043,47003,61698,30236
YukiNoFuruMachi_061,0.3179885523951577,0.48253613708143767,0.8475999372230034,0.33727206223444256,0.48253609635653905,0.44426167296576635,0.5520184544278658,0.37170338193652336,89206,224184,75611
YumeNoKayoiji_005,0.6899763345365167,0.8165514752320431,0.8497566178894491,0.7858437940682692,0.8165514253080983,0.6934526285763343,0.6909667194807014,0.6959565902206204,133124,143951,113123
YumeiroCooking_087,0.5628508872255398,0.7202873822783492,0.8733027085669502,0.6128986342701903,0.7202873338130579,0.4882080251893497,0.4887336638015157,0.487683615808188,98613,140511,86119
